Front,Right,Left,Action
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20, 
84,20,20,W
84,20,20,W
84,20,20,W
84,20,20,W
84,20,20,W
84,20,20,W
84,20,19,W
84,20,20,W
84,20,21,W
84,20,21,W
84,20,19,W
84,20,19,W
84,20,19,W
84,20,19,W
84,20,19,W
84,20,19,W
84,20,21,W
84,20,21,W
84,20,21,W
84,20,19,W
83,20,19,W
83,20,19,W
83,21,21, 
80,19,22, 
77,20,22, 
74,20,19, 
69,21,18, 
69,21,18, 
65,22,19, 
65,22,19, 
65,22,19, 
65,22,19, 
61,22,18, 
61,22,18, 
56,23,18, 
56,23,18, 
56,23,18, 
56,23,18, 
56,23,18, 
52,24,19, 
52,24,19, 
52,24,19, 
52,24,19, 
49,24,19, 
49,24,19, 
49,24,19,A
49,24,19,A
44,23,22,A
44,23,22,A
44,23,22,A
44,23,22,A
40,24,34,A
40,24,34,A
40,24,34,A
40,24,34,A
35,26,59,A
35,26,59,A
35,26,59,A
35,26,59,A
35,26,59,A
32,25,57,A
32,25,57,A
32,25,57,A
29,25,69,A
24,25,60,A
22,25,79,A
23,25,78,A
23,25,78,A
23,25,78,A
23,26,77,A
23,25,58,A
23,27,55,A
24,27,69,A
29,29,55,A
28,31,69,A
28,31,69,A
28,31,69,A
28,31,69,A
83,32,68,A
83,32,68,A
83,32,68,A
70,40,65,A
70,40,65,A
70,40,65,A
70,40,65,A
70,40,65,A
56,40,63,A
56,40,63,A
56,40,63,A
56,40,63,A
56,41,32,A
56,41,32,A
56,41,32,A
56,41,32,A
52,45,29, 
52,45,29, 
52,45,29, 
55,34,30,W
55,34,30,W
55,34,30,W
55,34,30,W
55,34,30,W
55,34,30,W
56,34,30,W
56,34,30,W
56,34,30,W
56,34,30,W
83,31,68,W
83,31,68,W
83,31,68,W
83,31,68,W
83,31,68,W
83,31,77,W
83,31,77,W
83,31,77,W
83,31,77,W
67,31,78,W
67,31,78,W
67,31,78,W
67,31,78,W
82,32,89,W
82,32,89,W
82,32,89,W
82,32,89,W
82,32,89,W
83,33,84,W
83,33,88,W
83,33,88,W
83,33,88,W
81,33,89,W
80,32,56,W
76,33,10,W
72,33,10,W
68,31,11,W
68,31,11,W
68,31,11,W
68,31,11, 
65,31,11, 
65,31,11, 
73,30,10, 
73,30,10, 
73,30,10,A
73,30,10,A
73,30,10,A
73,30,10,A
67,31,10,A
67,31,10,A
67,31,10,A
67,31,10,A
64,30,12,A
64,30,12,A
64,30,12,A
64,30,12,A
64,30,12,A
60,28,12,A
60,28,12,A
60,28,12,A
60,28,12,A
56,27,12,A
56,27,12,A
56,27,12,A
56,27,12,A
52,26,13,A
52,26,13,A
52,26,13,A
52,26,13,A
48,25,14,A
48,25,14,A
48,25,14,A
48,25,14,A
45,23,12,A
45,23,12,A
45,23,12,A
45,23,12,A
40,23,14,A
40,23,14,A
40,23,14,A
40,23,14,A
37,22,15,A
37,22,15,A
37,22,15,A
37,22,15,A
37,22,15,A
34,21,48,A
34,21,48,A
34,21,48,A
32,22,56,A
32,22,56,A
26,22,84,A
29,22,98, 
25,24,78, 
22,23,113, 
22,23,72, 
22,23,80, 
22,23,80, 
22,23,80, 
22,23,80, 
22,23,80, 
77,26,65, 
77,26,65, 
77,26,65, 
77,26,65, 
77,28,49, 
77,28,49, 
77,28,49, 
77,28,49, 
76,28,109,W
76,28,109,W
76,28,109,W
76,28,109,W
76,28,109,W
-1,32,109,W
-1,32,109,W
-1,32,109,W
-1,32,109,W
-1,35,81,W
-1,35,81,W
-1,35,81,W
-1,177,24,W
-1,177,24,W
-1,177,24,W
-1,177,24,W
-1,177,24, 
-1,28,20, 
-1,28,20, 
-1,28,20, 
104,28,18, 
104,28,18, 
104,28,18,A
102,27,20,A
102,26,18,A
102,26,18,A
101,26,17,A
101,25,16,A
98,28,71,A
95,23,6,A
91,22,8,A
88,21,9,A
88,21,9,A
88,21,9,A
83,21,10,A
83,21,10,A
83,21,10,A
83,21,10,A
79,18,11,A
79,18,11, 
79,18,11, 
79,18,11, 
75,17,12, 
75,17,12, 
75,17,12, 
75,17,12, 
71,18,14, 
71,18,14,W
67,15,48,W
67,15,48,W
64,14,15,A
64,14,15,A
63,15,16,A
63,15,16,A
62,15,16,A
63,14,16,A
63,16,15,A
63,16,15,A
62,16,15,A
62,16,15,A
61,20,14,A
59,16,14,A
56,15,15,A
54,16,14,A
50,15,16,A
46,16,15,A
46,16,15,A
46,16,15,A
42,15,16,A
42,15,16,A
42,15,16,A
42,15,16,A
42,15,16,A
38,15,21,A
38,15,21,A
38,15,21,A
38,15,21,A
36,15,28,A
36,15,28,A
36,15,28,A
36,15,28,A
56,17,57,A
56,17,57,A
29,16,30,A
49,15,31,A
27,23,30,A
25,19,29,A
24,19,29,A
25,23,29,A
25,23,29,A
25,23,29,A
25,23,29,A
30,22,27,A
30,22,27,A
30,22,27,A
30,22,27,A
27,24,22,A
27,24,22,A
27,24,22,A
27,24,22,A
27,24,22,A
49,25,26,A
49,25,26,A
49,27,24,A
49,27,24,A
48,27,24,A
48,27,24,A
43,28,22,A
43,28,22,A
44,29,22,A
42,27,22,A
42,27,22,A
40,27,24,A
58,23,26,A
58,23,26,A
57,24,28,W
57,24,28,W
-1,20,25,W
107,22,26,W
101,22,29,W
74,23,24,W
72,14,22,W
72,13,26,W
72,13,26,W
72,13,26,W
72,13,26,W
96,13,21,W
96,13,21,W
96,13,21,W
96,13,21,W
96,14,20,W
96,14,20,W
96,14,20,W
96,14,20,W
95,14,19,W
95,14,19,W
95,15,23,W
95,15,-1,W
95,15,-1,W
95,15,49,W
93,15,49,W
90,24,16,W
86,21,12,W
82,22,10,W
78,21,12,W
78,21,12,W
78,21,12,A
78,21,12,A
74,19,12,A
74,19,12,A
74,19,12,A
74,19,12,A
70,20,12,A
70,20,12,A
70,20,12,A
70,20,12,A
70,20,12,A
66,19,12,A
66,19,12,A
66,19,12,A
66,19,12,A
61,20,12,A
61,20,12,A
61,20,12,A
61,20,12,A
57,19,13,A
57,19,13,A
57,19,13,A
57,19,13,A
57,19,13,A
53,20,12,A
53,20,12,A
53,20,12,A
53,20,12,A
49,19,12,A
49,19,12,A
49,19,12,A
49,19,12,A
45,20,13,A
45,20,13,A
45,20,13,A
40,21,47,A
40,21,47,A
40,21,47,A
40,21,47,A
35,21,94,A
33,21,95,A
33,21,95,A
32,21,93,A
32,21,94,A
32,22,75,A
32,23,45,A
31,23,46,A
32,25,43,A
32,25,43,A
32,25,43,A
32,27,45,A
32,27,45,A
32,27,45,A
32,27,45,A
33,26,44,A
33,26,44,A
33,26,44,A
33,26,44,A
35,27,26,A
35,27,26,A
35,27,26,A
35,27,26,A
83,28,22,A
83,28,22,A
83,28,22,A
83,28,22,A
83,28,22,A
110,42,24,A
110,42,24,A
110,42,24,A
110,42,24,A
66,41,23,A
66,41,23,A
66,41,23,A
66,41,23,A
65,41,20,A
65,41,20,A
65,41,20, 
65,41,20, 
65,34,24, 
65,34,24, 
64,34,19, 
64,34,19, 
64,34,19,W
64,34,19,W
64,34,19,W
64,32,21,W
64,32,21,W
64,32,21,W
64,32,21,W
64,32,21,W
64,32,21,W
68,32,20,W
68,32,20,W
68,32,20,W
68,32,20,W
66,32,20,W
66,32,20,W
66,32,20,W
66,32,20,W
120,33,22,W
120,33,22,W
120,33,22,W
119,33,18,W
119,33,18,W
119,33,18,W
119,33,18,W
119,33,18,W
69,34,23,W
69,34,23,W
69,34,23,W
69,34,23,W
118,35,69,W
118,35,69,W
118,34,70,W
118,34,70,W
118,34,70,W
118,35,59,W
117,34,17,W
67,34,15,W
113,34,22,W
110,34,6,W
107,34,5,W
107,34,5,W
107,34,5,W
107,34,5,W
103,32,4,W
103,32,4,W
103,32,4,W
99,32,6,W
99,32,6,W
99,32,6,W
99,32,6,W
99,32,6,W
95,32,6,W
95,32,6,W
95,32,6,W
95,32,6,W
91,31,7,W
91,31,7,W
91,31,7,W
87,32,9,W
87,32,9,W
87,32,9,W
87,32,9,W
87,32,9,W
87,32,9,W
83,31,8,W
83,31,8,W
83,31,8,W
83,31,8,W
79,31,7,W
79,31,7,W
79,31,7,W
75,31,10,W
75,31,10,W
75,31,10,W
75,31,10,W
70,31,7,W
70,31,7, 
70,31,7, 
70,31,7, 
70,31,7, 
66,30,8, 
66,30,8, 
66,30,8, 
66,30,8, 
66,30,8, 
62,31,10, 
62,31,10,A
62,31,10,A
62,31,10,A
58,31,9,A
58,31,9,A
58,31,9,A
58,31,9,A
54,32,10,A
54,32,10,A
54,32,10,A
54,32,10,A
49,32,11,A
49,32,11,A
49,32,11,A
45,32,16,A
45,32,16,A
45,32,16,A
45,32,16,W
45,32,16,W
45,32,16,W
41,31,58,W
41,31,58,W
41,31,58,W
41,31,58,W
38,31,58,W
38,31,58,W
38,31,58,W
38,31,58,W
38,31,58,W
